info: Jan-21-2023 15:40:13: 	 Arrancamos Bob en el puerto 8001
info: Jan-22-2023 02:15:40: 	RVN-USDT-SWAP market buy long 0 963
info: Jan-22-2023 02:15:40: 	Enviamos Axios Market
info: Jan-22-2023 02:15:41: 	Arrancamos long el par:RVN-USDT precio: 0.02905 cantidad: 279.7515
info: Jan-22-2023 02:15:41: 	****************************************************************************
info: Jan-22-2023 17:16:08: 	Iniciamos proceso para abrir el par SNX-USDT en sentido long
info: Jan-22-2023 17:16:08: 	Enviamos a okex la operacion SNX-USDT-SWAP
info: Jan-22-2023 17:16:08: 	SNX-USDT-SWAP market buy long 0 108
info: Jan-22-2023 17:16:08: 	Enviamos Axios Market
info: Jan-22-2023 17:16:08: 	Arrancamos long el par:SNX-USDT precio: 2.586 cantidad: 279.288
info: Jan-22-2023 17:16:08: 	****************************************************************************
info: Jan-23-2023 20:56:13: 	 okex Closed Client1006
info: Jan-23-2023 20:56:43: 	 Conectados a okex
info: Jan-23-2023 20:56:43: 	subscritos al canal privadode Okex
info: Jan-24-2023 05:30:00: 	Cerramos operacion del par ZEC-USDT
info: Jan-24-2023 05:30:00: 	Tenemos que poner una orden
info: Jan-24-2023 05:30:00: 	Type: market Maximo: 20000
info: Jan-24-2023 05:30:00: 	Qty: 57 Maxqty:20000
info: Jan-24-2023 05:30:00: 	ZEC-USDT-SWAP market sell long 0 57
info: Jan-24-2023 05:30:00: 	Enviamos Axios Market
info: Jan-24-2023 05:30:00: 	La orden se ha puesto correctamente
info: Jan-24-2023 05:30:00: 	Cerramos el par:ZEC-USDT Profit: -8.094 acumulado: -8.094
info: Jan-24-2023 05:30:00: 	Profit total: -9.74645105
info: Jan-24-2023 05:30:00: 	****************************************************************************
info: Jan-24-2023 06:15:00: 	Cerramos operacion del par RVN-USDT
info: Jan-24-2023 06:15:00: 	Tenemos que poner una orden
info: Jan-24-2023 06:15:00: 	Type: market Maximo: 270000
info: Jan-24-2023 06:15:00: 	Qty: 963 Maxqty:270000
info: Jan-24-2023 06:15:00: 	RVN-USDT-SWAP market sell long 0 963
info: Jan-24-2023 06:15:00: 	Enviamos Axios Market
info: Jan-24-2023 06:15:01: 	Cerramos operacion del par SNX-USDT
info: Jan-24-2023 06:15:01: 	Tenemos que poner una orden
info: Jan-24-2023 06:15:01: 	Type: market Maximo: 26000
info: Jan-24-2023 06:15:01: 	Qty: 108 Maxqty:26000
info: Jan-24-2023 06:15:01: 	SNX-USDT-SWAP market sell long 0 108
info: Jan-24-2023 06:15:01: 	Enviamos Axios Market
info: Jan-24-2023 06:15:01: 	La orden se ha puesto correctamente
info: Jan-24-2023 06:15:01: 	Cerramos el par:RVN-USDT Profit: -3.6594 acumulado: -3.6594
info: Jan-24-2023 06:15:01: 	Profit total: -13.5438971
info: Jan-24-2023 06:15:01: 	****************************************************************************
info: Jan-24-2023 06:15:01: 	La orden se ha puesto correctamente
info: Jan-24-2023 06:15:01: 	Cerramos el par:SNX-USDT Profit: -2.808 acumulado: -2.808
info: Jan-24-2023 06:15:01: 	Profit total: -16.4901371
info: Jan-24-2023 06:15:01: 	****************************************************************************
info: Jan-24-2023 07:00:00: 	Cerramos operacion del par OP-USDT
info: Jan-24-2023 07:00:00: 	Tenemos que poner una orden
info: Jan-24-2023 07:00:00: 	Type: market Maximo: 100000
info: Jan-24-2023 07:00:00: 	Qty: 121 Maxqty:100000
info: Jan-24-2023 07:00:00: 	OP-USDT-SWAP market sell long 0 121
info: Jan-24-2023 07:00:00: 	Enviamos Axios Market
info: Jan-24-2023 07:00:01: 	La orden se ha puesto correctamente
info: Jan-24-2023 07:00:01: 	****************************************************************************
info: Jan-24-2023 07:00:01: 	Venta parcial del par OP-USDT Cantidad 23
info: Jan-24-2023 07:00:01: 	****************************************************************************
info: Jan-24-2023 07:00:01: 	Cerramos el par:OP-USDT Profit: -3.9037 acumulado: -3.9037
info: Jan-24-2023 07:00:01: 	Profit total: -20.5317431
info: Jan-24-2023 07:00:01: 	****************************************************************************
info: Jan-24-2023 07:15:00: 	Cerramos operacion del par ENJ-USDT
info: Jan-24-2023 07:15:00: 	Tenemos que poner una orden
info: Jan-24-2023 07:15:00: 	Type: market Maximo: 110000
info: Jan-24-2023 07:15:00: 	Qty: 646 Maxqty:110000
info: Jan-24-2023 07:15:00: 	ENJ-USDT-SWAP market sell long 0 646
info: Jan-24-2023 07:15:00: 	Enviamos Axios Market
info: Jan-24-2023 07:15:00: 	La orden se ha puesto correctamente
info: Jan-24-2023 07:15:00: 	Cerramos el par:ENJ-USDT Profit: 4.4574 acumulado: 4.4574
info: Jan-24-2023 07:15:00: 	Profit total: -16.2163985
info: Jan-24-2023 07:15:00: 	****************************************************************************
info: Jan-24-2023 08:35:51: 	Iniciamos proceso para abrir el par AAVE-USDT en sentido long
info: Jan-24-2023 08:35:51: 	Enviamos a okex la operacion AAVE-USDT-SWAP
info: Jan-24-2023 08:35:51: 	AAVE-USDT-SWAP market buy long 0 31
info: Jan-24-2023 08:35:51: 	Enviamos Axios Market
info: Jan-24-2023 08:35:51: 	Arrancamos long el par:AAVE-USDT precio: 87.8667741935483871 cantidad: 272.38700000000000001
info: Jan-24-2023 08:35:51: 	****************************************************************************
info: Jan-24-2023 09:00:00: 	Cerramos operacion del par KNC-USDT
info: Jan-24-2023 09:00:00: 	Tenemos que poner una orden
info: Jan-24-2023 09:00:00: 	Type: market Maximo: 100000
info: Jan-24-2023 09:00:00: 	Qty: 329 Maxqty:100000
info: Jan-24-2023 09:00:00: 	KNC-USDT-SWAP market sell long 0 329
info: Jan-24-2023 09:00:00: 	Enviamos Axios Market
info: Jan-24-2023 09:00:00: 	****************************************************************************
info: Jan-24-2023 09:00:00: 	Venta parcial del par KNC-USDT Cantidad 71
info: Jan-24-2023 09:00:00: 	****************************************************************************
info: Jan-24-2023 09:00:00: 	****************************************************************************
info: Jan-24-2023 09:00:00: 	Venta parcial del par KNC-USDT Cantidad 2
info: Jan-24-2023 09:00:00: 	****************************************************************************
info: Jan-24-2023 09:00:00: 	****************************************************************************
info: Jan-24-2023 09:00:00: 	Venta parcial del par KNC-USDT Cantidad 198
info: Jan-24-2023 09:00:00: 	****************************************************************************
info: Jan-24-2023 09:00:00: 	La orden se ha puesto correctamente
info: Jan-24-2023 09:00:00: 	Cerramos el par:KNC-USDT Profit: -1.4825000000000196 acumulado: -1.4825000000000196
info: Jan-24-2023 09:00:00: 	Profit total: -17.9740952500000196
info: Jan-24-2023 09:00:00: 	****************************************************************************
info: Jan-24-2023 10:45:00: 	Cerramos operacion del par ANT-USDT
info: Jan-24-2023 10:45:00: 	Tenemos que poner una orden
info: Jan-24-2023 10:45:00: 	Type: market Maximo: 15000
info: Jan-24-2023 10:45:00: 	Qty: 92 Maxqty:15000
info: Jan-24-2023 10:45:00: 	ANT-USDT-SWAP market sell long 0 92
info: Jan-24-2023 10:45:00: 	Enviamos Axios Market
info: Jan-24-2023 10:45:01: 	La orden se ha puesto correctamente
info: Jan-24-2023 10:45:01: 	****************************************************************************
info: Jan-24-2023 10:45:01: 	Venta parcial del par ANT-USDT Cantidad 21
info: Jan-24-2023 10:45:01: 	****************************************************************************
info: Jan-24-2023 10:45:01: 	Cerramos el par:ANT-USDT Profit: 0 acumulado: 0
info: Jan-24-2023 10:45:01: 	Profit total: -18.1131532500000196
info: Jan-24-2023 10:45:01: 	****************************************************************************
info: Jan-24-2023 12:15:00: 	Cerramos operacion del par AAVE-USDT
info: Jan-24-2023 12:15:00: 	Tenemos que poner una orden
info: Jan-24-2023 12:15:00: 	Type: market Maximo: 12000
info: Jan-24-2023 12:15:00: 	Qty: 31 Maxqty:12000
info: Jan-24-2023 12:15:00: 	AAVE-USDT-SWAP market sell long 0 31
info: Jan-24-2023 12:15:00: 	Enviamos Axios Market
info: Jan-24-2023 12:15:00: 	Cerramos operacion del par DASH-USDT
info: Jan-24-2023 12:15:00: 	Tenemos que poner una orden
info: Jan-24-2023 12:15:00: 	Type: market Maximo: 24000
info: Jan-24-2023 12:15:00: 	Qty: 52 Maxqty:24000
info: Jan-24-2023 12:15:00: 	DASH-USDT-SWAP market sell long 0 52
info: Jan-24-2023 12:15:00: 	Enviamos Axios Market
info: Jan-24-2023 12:15:01: 	La orden se ha puesto correctamente
info: Jan-24-2023 12:15:01: 	Cerramos el par:AAVE-USDT Profit: -6.624 acumulado: -6.624
info: Jan-24-2023 12:15:01: 	Profit total: -24.8700347500000196
info: Jan-24-2023 12:15:01: 	****************************************************************************
info: Jan-24-2023 12:15:01: 	La orden se ha puesto correctamente
info: Jan-24-2023 12:15:01: 	****************************************************************************
info: Jan-24-2023 12:15:01: 	Venta parcial del par DASH-USDT Cantidad 3
info: Jan-24-2023 12:15:01: 	****************************************************************************
info: Jan-24-2023 12:15:01: 	Cerramos el par:DASH-USDT Profit: -7.0640000000000002 acumulado: -7.0640000000000002
info: Jan-24-2023 12:15:01: 	Profit total: -32.0685847500000198
info: Jan-24-2023 12:15:01: 	****************************************************************************
info: Jan-24-2023 13:39:12: 	Iniciamos proceso para abrir el par ZEC-USDT en sentido short
info: Jan-24-2023 13:39:12: 	Enviamos a okex la operacion
info: Jan-24-2023 13:39:12: 	ZEC-USDT-SWAP market sell short 0 58
info: Jan-24-2023 13:39:12: 	Enviamos Axios Market
info: Jan-24-2023 13:39:12: 	Arrancamos short el par:ZEC-USDT precio: 47.66 cantidad: 276.428
info: Jan-24-2023 13:39:12: 	****************************************************************************
info: Jan-24-2023 14:29:48: 	Iniciamos proceso para abrir el par AAVE-USDT en sentido short
info: Jan-24-2023 14:29:48: 	Enviamos a okex la operacion
info: Jan-24-2023 14:29:48: 	AAVE-USDT-SWAP market sell short 0 32
info: Jan-24-2023 14:29:48: 	Enviamos Axios Market
info: Jan-24-2023 14:29:48: 	Arrancamos short el par:AAVE-USDT precio: 86.06 cantidad: 275.392
info: Jan-24-2023 14:29:48: 	****************************************************************************
info: Jan-24-2023 16:33:13: 	Iniciamos proceso para abrir el par DASH-USDT en sentido short
info: Jan-24-2023 16:33:13: 	Enviamos a okex la operacion
info: Jan-24-2023 16:33:13: 	DASH-USDT-SWAP market sell short 0 54
info: Jan-24-2023 16:33:13: 	Enviamos Axios Market
info: Jan-24-2023 16:33:13: 	Arrancamos short el par:DASH-USDT precio: 51.49 cantidad: 278.046
info: Jan-24-2023 16:33:13: 	****************************************************************************
info: Jan-24-2023 17:06:25: 	Iniciamos proceso para abrir el par PEOPLE-USDT en sentido short
info: Jan-24-2023 17:06:25: 	Enviamos a okex la operacion
info: Jan-24-2023 17:06:25: 	PEOPLE-USDT-SWAP market sell short 0 102
info: Jan-24-2023 17:06:25: 	Enviamos Axios Market
info: Jan-24-2023 17:06:25: 	Arrancamos short el par:PEOPLE-USDT precio: 0.02732 cantidad: 278.664
info: Jan-24-2023 17:06:25: 	****************************************************************************
info: Jan-24-2023 19:23:16: 	Iniciamos proceso para abrir el par TRX-USDT en sentido short
info: Jan-24-2023 19:23:16: 	Enviamos a okex la operacion
info: Jan-24-2023 19:23:16: 	TRX-USDT-SWAP market sell short 0 4
info: Jan-24-2023 19:23:16: 	Enviamos Axios Market
info: Jan-24-2023 19:23:17: 	Arrancamos short el par:TRX-USDT precio: 0.06199 cantidad: 247.96
info: Jan-24-2023 19:23:17: 	****************************************************************************
info: Jan-24-2023 20:01:13: 	Iniciamos proceso para abrir el par ETHW-USDT en sentido short
info: Jan-24-2023 20:01:13: 	Enviamos a okex la operacion
info: Jan-24-2023 20:01:13: 	ETHW-USDT-SWAP market sell short 0 693
info: Jan-24-2023 20:01:13: 	Enviamos Axios Market
info: Jan-24-2023 20:01:14: 	Arrancamos short el par:ETHW-USDT precio: 4.037 cantidad: 279.7641
info: Jan-24-2023 20:01:14: 	****************************************************************************
info: Jan-24-2023 21:00:00: 	Cerramos operacion del par XCH-USDT
info: Jan-24-2023 21:00:00: 	Tenemos que poner una orden
info: Jan-24-2023 21:00:00: 	Type: market Maximo: 44000
info: Jan-24-2023 21:00:00: 	Qty: 595 Maxqty:44000
info: Jan-24-2023 21:00:00: 	XCH-USDT-SWAP market sell long 0 595
info: Jan-24-2023 21:00:00: 	Enviamos Axios Market
info: Jan-24-2023 21:00:01: 	La orden se ha puesto correctamente
info: Jan-24-2023 21:00:01: 	****************************************************************************
info: Jan-24-2023 21:00:01: 	Venta parcial del par XCH-USDT Cantidad 5.5
info: Jan-24-2023 21:00:01: 	****************************************************************************
info: Jan-24-2023 21:00:01: 	****************************************************************************
info: Jan-24-2023 21:00:01: 	Venta parcial del par XCH-USDT Cantidad 0.06
info: Jan-24-2023 21:00:01: 	****************************************************************************
info: Jan-24-2023 21:00:01: 	****************************************************************************
info: Jan-24-2023 21:00:01: 	Venta parcial del par XCH-USDT Cantidad 0.03
info: Jan-24-2023 21:00:01: 	****************************************************************************
info: Jan-24-2023 21:00:01: 	Cerramos el par:XCH-USDT Profit: -8.635 acumulado: -8.635
info: Jan-24-2023 21:00:01: 	Profit total: -41.6572490500000198
info: Jan-24-2023 21:00:01: 	****************************************************************************
info: Jan-24-2023 21:01:12: 	Iniciamos proceso para abrir el par LINK-USDT en sentido short
info: Jan-24-2023 21:01:12: 	Enviamos a okex la operacion
info: Jan-24-2023 21:01:12: 	LINK-USDT-SWAP market sell short 0 40
info: Jan-24-2023 21:01:12: 	Enviamos Axios Market
info: Jan-24-2023 21:01:12: 	Arrancamos short el par:LINK-USDT precio: 6.987 cantidad: 279.48
info: Jan-24-2023 21:01:12: 	****************************************************************************
info: Jan-24-2023 22:15:55: 	Iniciamos proceso para abrir el par BCH-USDT en sentido short
info: Jan-24-2023 22:15:55: 	Enviamos a okex la operacion
info: Jan-24-2023 22:15:55: 	BCH-USDT-SWAP market sell short 0 21
info: Jan-24-2023 22:15:55: 	Enviamos Axios Market
info: Jan-24-2023 22:15:55: 	Arrancamos short el par:BCH-USDT precio: 132.1461904761904762 cantidad: 277.50700000000000002
info: Jan-24-2023 22:15:55: 	****************************************************************************
info: Jan-24-2023 22:25:57: 	 okex Closed Client1006
info: Jan-24-2023 22:26:27: 	 Conectados a okex
info: Jan-24-2023 22:26:27: 	subscritos al canal privadode Okex
info: Jan-25-2023 02:00:00: 	Cerramos operacion del par XRP-USDT
info: Jan-25-2023 02:00:00: 	Tenemos que poner una orden
info: Jan-25-2023 02:00:00: 	Type: market Maximo: 5000
info: Jan-25-2023 02:00:00: 	Qty: 6 Maxqty:5000
info: Jan-25-2023 02:00:00: 	XRP-USDT-SWAP market sell long 0 6
info: Jan-25-2023 02:00:00: 	Enviamos Axios Market
info: Jan-25-2023 02:00:00: 	La orden se ha puesto correctamente
info: Jan-25-2023 02:00:00: 	****************************************************************************
info: Jan-25-2023 02:00:00: 	Venta parcial del par XRP-USDT Cantidad 300
info: Jan-25-2023 02:00:00: 	****************************************************************************
info: Jan-25-2023 02:00:00: 	Cerramos el par:XRP-USDT Profit: -3.14200000000002 acumulado: -3.14200000000002
info: Jan-25-2023 02:00:00: 	Profit total: -45.1993160500000398
info: Jan-25-2023 02:00:00: 	****************************************************************************
info: Jan-25-2023 03:03:09: 	Iniciamos proceso para abrir el par MINA-USDT en sentido short
info: Jan-25-2023 03:03:09: 	Enviamos a okex la operacion
info: Jan-25-2023 03:03:09: 	MINA-USDT-SWAP market sell short 0 498
info: Jan-25-2023 03:03:09: 	Enviamos Axios Market
info: Jan-25-2023 03:03:09: 	Arrancamos short el par:MINA-USDT precio: 0.562 cantidad: 279.876
info: Jan-25-2023 03:03:09: 	****************************************************************************
info: Jan-25-2023 03:15:13: 	Iniciamos proceso para abrir el par DYDX-USDT en sentido short
info: Jan-25-2023 03:15:13: 	Enviamos a okex la operacion
info: Jan-25-2023 03:15:13: 	DYDX-USDT-SWAP market sell short 0 180
info: Jan-25-2023 03:15:13: 	Enviamos Axios Market
info: Jan-25-2023 03:15:14: 	Arrancamos short el par:DYDX-USDT precio: 1.552 cantidad: 279.36
info: Jan-25-2023 03:15:14: 	****************************************************************************
info: Jan-25-2023 03:16:35: 	Iniciamos proceso para abrir el par BSV-USDT en sentido short
info: Jan-25-2023 03:16:35: 	Enviamos a okex la operacion
info: Jan-25-2023 03:16:35: 	BSV-USDT-SWAP market sell short 0 6
info: Jan-25-2023 03:16:35: 	Enviamos Axios Market
info: Jan-25-2023 03:16:36: 	Arrancamos short el par:BSV-USDT precio: 42.6 cantidad: 255.6
info: Jan-25-2023 03:16:36: 	****************************************************************************
info: Jan-25-2023 03:30:03: 	Iniciamos proceso para abrir el par MASK-USDT en sentido short
info: Jan-25-2023 03:30:03: 	Enviamos a okex la operacion
info: Jan-25-2023 03:30:03: 	MASK-USDT-SWAP market sell short 0 95
info: Jan-25-2023 03:30:03: 	Enviamos Axios Market
info: Jan-25-2023 03:30:03: 	Arrancamos short el par:MASK-USDT precio: 2.924 cantidad: 277.78
info: Jan-25-2023 03:30:03: 	****************************************************************************
info: Jan-25-2023 03:45:06: 	Iniciamos proceso para abrir el par XLM-USDT en sentido short
info: Jan-25-2023 03:45:06: 	Enviamos a okex la operacion
info: Jan-25-2023 03:45:06: 	XLM-USDT-SWAP market sell short 0 31
info: Jan-25-2023 03:45:06: 	Enviamos Axios Market
info: Jan-25-2023 03:45:06: 	Arrancamos short el par:XLM-USDT precio: 0.09006 cantidad: 279.186
info: Jan-25-2023 03:45:06: 	****************************************************************************
info: Jan-25-2023 03:45:19: 	Iniciamos proceso para abrir el par APE-USDT en sentido short
info: Jan-25-2023 03:45:19: 	Enviamos a okex la operacion
info: Jan-25-2023 03:45:19: 	APE-USDT-SWAP market sell short 0 517
info: Jan-25-2023 03:45:19: 	Enviamos Axios Market
info: Jan-25-2023 03:45:19: 	Arrancamos short el par:APE-USDT precio: 5.4086 cantidad: 279.62462
info: Jan-25-2023 03:45:19: 	****************************************************************************
info: Jan-25-2023 03:45:20: 	Iniciamos proceso para abrir el par SUSHI-USDT en sentido short
info: Jan-25-2023 03:45:20: 	Enviamos a okex la operacion
info: Jan-25-2023 03:45:20: 	SUSHI-USDT-SWAP market sell short 0 226
info: Jan-25-2023 03:45:20: 	Enviamos Axios Market
info: Jan-25-2023 03:45:20: 	Arrancamos short el par:SUSHI-USDT precio: 1.237 cantidad: 279.562
info: Jan-25-2023 03:45:20: 	****************************************************************************
info: Jan-25-2023 03:55:40: 	Iniciamos proceso para abrir el par SAND-USDT en sentido short
info: Jan-25-2023 03:55:40: 	Enviamos a okex la operacion
info: Jan-25-2023 03:55:40: 	SAND-USDT-SWAP market sell short 0 38
info: Jan-25-2023 03:55:40: 	Enviamos Axios Market
info: Jan-25-2023 03:55:40: 	Arrancamos short el par:SAND-USDT precio: 0.7229 cantidad: 274.702
info: Jan-25-2023 03:55:40: 	****************************************************************************
info: Jan-25-2023 04:00:08: 	Iniciamos proceso para abrir el par DOT-USDT en sentido short
info: Jan-25-2023 04:00:08: 	Enviamos a okex la operacion
info: Jan-25-2023 04:00:08: 	DOT-USDT-SWAP market sell short 0 45
info: Jan-25-2023 04:00:08: 	Enviamos Axios Market
info: Jan-25-2023 04:00:08: 	Arrancamos short el par:DOT-USDT precio: 6.1472666666666667 cantidad: 276.6270000000000015
info: Jan-25-2023 04:00:08: 	****************************************************************************
info: Jan-25-2023 04:00:14: 	Iniciamos proceso para abrir el par ETC-USDT en sentido short
info: Jan-25-2023 04:00:14: 	Enviamos a okex la operacion
info: Jan-25-2023 04:00:14: 	ETC-USDT-SWAP market sell short 0 1
info: Jan-25-2023 04:00:14: 	Enviamos Axios Market
info: Jan-25-2023 04:00:14: 	Arrancamos short el par:ETC-USDT precio: 21.07 cantidad: 210.7
info: Jan-25-2023 04:00:14: 	****************************************************************************
info: Jan-25-2023 04:01:49: 	Iniciamos proceso para abrir el par ICP-USDT en sentido short
info: Jan-25-2023 04:01:49: 	Enviamos a okex la operacion
info: Jan-25-2023 04:01:49: 	ICP-USDT-SWAP market sell short 0 5109
info: Jan-25-2023 04:01:49: 	Enviamos Axios Market
info: Jan-25-2023 04:01:49: 	Arrancamos short el par:ICP-USDT precio: 5.48 cantidad: 279.9732
info: Jan-25-2023 04:01:49: 	****************************************************************************
info: Jan-25-2023 04:15:10: 	Iniciamos proceso para abrir el par XTZ-USDT en sentido short
info: Jan-25-2023 04:15:10: 	Enviamos a okex la operacion
info: Jan-25-2023 04:15:10: 	XTZ-USDT-SWAP market sell short 0 267
info: Jan-25-2023 04:15:10: 	Enviamos Axios Market
info: Jan-25-2023 04:15:10: 	Arrancamos short el par:XTZ-USDT precio: 1.046 cantidad: 279.282
info: Jan-25-2023 04:15:10: 	****************************************************************************
info: Jan-25-2023 04:30:16: 	Iniciamos proceso para abrir el par MANA-USDT en sentido short
info: Jan-25-2023 04:30:16: 	Enviamos a okex la operacion
info: Jan-25-2023 04:30:16: 	MANA-USDT-SWAP market sell short 0 42
info: Jan-25-2023 04:30:16: 	Enviamos Axios Market
info: Jan-25-2023 04:30:16: 	Arrancamos short el par:MANA-USDT precio: 0.6525 cantidad: 274.05
info: Jan-25-2023 04:30:16: 	****************************************************************************
info: Jan-25-2023 04:30:19: 	Iniciamos proceso para abrir el par WAVES-USDT en sentido short
info: Jan-25-2023 04:30:19: 	Enviamos a okex la operacion
info: Jan-25-2023 04:30:19: 	WAVES-USDT-SWAP market sell short 0 128
info: Jan-25-2023 04:30:19: 	Enviamos Axios Market
info: Jan-25-2023 04:30:19: 	Arrancamos short el par:WAVES-USDT precio: 2.172 cantidad: 278.016
info: Jan-25-2023 04:30:19: 	****************************************************************************
info: Jan-25-2023 04:30:21: 	Iniciamos proceso para abrir el par CELO-USDT en sentido short
info: Jan-25-2023 04:30:21: 	Enviamos a okex la operacion
info: Jan-25-2023 04:30:21: 	CELO-USDT-SWAP market sell short 0 412
info: Jan-25-2023 04:30:21: 	Enviamos Axios Market
info: Jan-25-2023 04:30:21: 	Arrancamos short el par:CELO-USDT precio: 0.678 cantidad: 279.336
info: Jan-25-2023 04:30:21: 	****************************************************************************
info: Jan-25-2023 04:30:25: 	Iniciamos proceso para abrir el par STORJ-USDT en sentido short
info: Jan-25-2023 04:30:25: 	Enviamos a okex la operacion
info: Jan-25-2023 04:30:25: 	STORJ-USDT-SWAP market sell short 0 81
info: Jan-25-2023 04:30:25: 	Enviamos Axios Market
info: Jan-25-2023 04:30:25: 	Arrancamos short el par:STORJ-USDT precio: 0.3424 cantidad: 277.344
info: Jan-25-2023 04:30:25: 	****************************************************************************
info: Jan-25-2023 04:34:48: 	Iniciamos proceso para abrir el par XRP-USDT en sentido short
info: Jan-25-2023 04:34:48: 	Enviamos a okex la operacion
